Title,Sentiment Compound,Sentiment Negative,Sentiment Neutral,Sentiment Positive,Published At
Senate Confirms Doug Burgum as Interior Secretary After Trump Tasked Him to Boost Drilling,0.7964,0.0,0.883,0.117,2025-01-31T01:43:22Z
Tom Brady Mailbag: Who is the best player 'the GOAT' ever faced in the Super Bowl?,0.9793,0.0,0.712,0.288,2025-01-31T01:42:21Z
Christopher Nolan’s ‘The Odyssey’ Adds John Leguizamo,0.5267,0.0,0.945,0.055,2025-01-31T01:39:41Z
Apple profit climbs but sales miss expectations,0.9239,0.07,0.734,0.196,2025-01-31T01:32:45Z
Trump Media Taps Familiar Faces For Truth.Fi,0.8658,0.0,0.849,0.151,2025-01-31T01:30:28Z
Trump Raised Millions From Crypto Firms for His Inauguration,0.6597,0.0,0.928,0.072,2025-01-31T01:30:08Z
Innovative Nigerian Pharmacists Spearheading Healthcare Revolution,0.9081,0.0,0.827,0.173,2025-01-31T01:30:00Z
Logitech G502 HERO RGB Gaming Mouse - $59 + Delivery ($0 C&C/ in-Store) @ Umart,0.9804,0.0,0.755,0.245,2025-01-31T01:26:19Z
Efficient Austrian Railway Initiatives - Siemens is Working to Improve LEDs at Passenger Stations (TrendHunter.com),0.9136,0.0,0.822,0.178,2025-01-31T01:22:03Z
Winnipeg council approves new $13.5M police helicopter despite questions about cost,0.875,0.0,0.841,0.159,2025-01-31T01:18:32Z
"Stock Market Live Updates 31 January 2025: Stock to buy today: Mahindra & Mahindra (₹2,970.30) - BUY",0.9259,0.0,0.829,0.171,2025-01-31T01:14:44Z
"Share Market Highlights 31 January 2025: Markets continue rally as Economic Survey predicts pro-growth Budget; Sensex leaps 740 pts to close at 77,500, Nifty ends above 23,500",0.9022,0.014,0.859,0.127,2025-01-31T01:14:44Z
Mark Zuckerberg's Meta Agrees to Pay Trump a Huge Settlement in Censorship Lawsuit,0.5574,0.102,0.762,0.136,2025-01-31T01:12:26Z
Apple Profit Climbs But Sales Miss Expectations,0.8735,0.079,0.741,0.181,2025-01-31T01:12:16Z
Samsung Electronics Announces Fourth Quarter and FY 2024 Results,0.8074,0.0,0.895,0.105,2025-01-31T01:12:05Z
World's Space Agencies Say Asteroid Has 1.3% Chance of Hitting Earth in 2032,0.6124,0.0,0.931,0.069,2025-01-31T01:05:59Z
タニタ、手のひら触れるだけで握力わかる新技術,0.743,0.0,0.69,0.31,2025-01-31T01:05:00Z
Congressional staffers 'unauthorized' to use DeepSeek,0.9081,0.0,0.861,0.139,2025-01-31T01:03:41Z
"Asian equities fall as Samsung, SK Hynix weigh",0.5466,0.065,0.833,0.103,2025-01-31T01:01:17Z
第4世代QD-OLED採用27型4Kゲーミングディスプレイ、ASUS「ROG Swift OLED PG27UCDM」国内発売日確定,0.6705,0.057,0.708,0.234,2025-01-31T01:00:15Z
Brave 1.74.51,0.9806,0.0,0.656,0.344,2025-01-31T01:00:02Z
China’s Boldest Oil Hunt Yet,0.5106,0.032,0.89,0.077,2025-01-31T01:00:00Z
"Ram, Jeep, Dodge rev up US car production in another Trump win",0.5789,0.037,0.875,0.088,2025-01-31T01:00:00Z
STEM competition winner gets N15m scholarship,0.9081,0.0,0.868,0.132,2025-01-31T00:56:48Z
Will Smith Announces Latest Single and New Album,0.872,0.0,0.864,0.136,2025-01-31T00:56:38Z
How Zebra is empowering frontline workers through tech,0.8658,0.0,0.83,0.17,2025-01-31T00:56:00Z
Teens Are Losing Faith In Big Tech—And The Numbers Are Shocking,0.7783,0.075,0.753,0.172,2025-01-31T00:53:58Z
Wise to Settle CFPB Allegations of Issues Around Advertisements and Disclosures,0.9337,0.037,0.736,0.227,2025-01-31T00:48:33Z
"11 years after a celebrated opening, massive solar plant faces a bleak future in the Mojave Desert",0.5574,0.028,0.9,0.073,2025-01-31T00:48:10Z
This new Google experiment uses AI to save you a phone call,0.8625,0.0,0.864,0.136,2025-01-31T00:40:08Z
Doug Burgum confirmed as interior secretary with support from Democrats,0.6597,0.0,0.908,0.092,2025-01-31T00:39:14Z
Q&A: OpenAI on rival DeepSeek and partnering with the government,0.5267,0.0,0.945,0.055,2025-01-31T00:37:11Z
Luxury Biotech Skincare Brands - AV Laboratories Skincare is The Future of Luxury Biotech Beauty (TrendHunter.com),0.802,0.0,0.886,0.114,2025-01-31T00:37:06Z
"If You're A Homebody, It's Definitely Worth Splurging On These 23 Things This Winter",0.8779,0.065,0.709,0.226,2025-01-31T00:31:02Z
Experts for budget boost to guard digital space from threats,0.888,0.077,0.712,0.211,2025-01-31T00:31:00Z
"Demand for Home Audio Equipment Set to Propel Market Growth to ~USD 94,230.5 Million by 2035 | Future Market Insights, Inc.",0.6808,0.043,0.869,0.088,2025-01-31T00:30:00Z
"Past Presidents’ Market Performance, And Current Leaders/Laggards",0.8126,0.0,0.863,0.137,2025-01-31T00:15:02Z
Intel has already received $2.2B in federal grants for chip production | TechCrunch,0.8316,0.0,0.852,0.148,2025-01-31T00:13:32Z
Rory McIlroy and Shane Lowry both hit holes-in-one at Pebble Beach Pro-Am,0.8462,0.0,0.882,0.118,2025-01-31T00:09:55Z
Senate advances Trump's energy secretary nominee to final confirmation vote,0.8074,0.0,0.856,0.144,2025-01-31T00:09:27Z
LG inaugurates UNIBEN solar-powered borehole,0.7717,0.0,0.903,0.097,2025-01-31T00:09:14Z
Senate confirms Doug Burgum as interior secretary after Trump tasked him to boost drilling,0.8934,0.0,0.862,0.138,2025-01-31T00:08:51Z
How an AI written book shows why the tech 'terrifies' creatives,0.8126,0.048,0.791,0.161,2025-01-31T00:02:44Z
Lloyds appoints head of responsible AI,0.9313,0.053,0.689,0.258,2025-01-31T00:01:00Z
Bitcoin In Texas’ Future? Gov. Dan Patrick Unveils Reserve Plan,0.9371,0.0,0.832,0.168,2025-01-31T00:00:51Z
The New Balance 550 Slips Into A “Dream State”,0.9001,0.021,0.85,0.129,2025-01-31T00:00:18Z
Nasdaq 100 celebrates 40 years: Is crypto the next big driver for gains?,0.8658,0.0,0.84,0.16,2025-01-31T00:00:01Z
"Mini deal, macro focus: PM Modi to talk trade in US",0.6908,0.041,0.857,0.102,2025-01-31T00:00:00Z
Easy ways to optimize your costs,0.9559,0.0,0.778,0.222,2025-01-31T00:00:00Z
Principal Machine Learning Engineer,0.8475,0.0,0.865,0.135,2025-01-31T00:00:00Z
AI & Machine Learning Engineer – Manager – Consulting – Location OPEN,0.9698,0.0,0.794,0.206,2025-01-31T00:00:00Z
AI & Machine Learning Engineer – Manager – Consulting – Location OPEN,0.9698,0.0,0.794,0.206,2025-01-31T00:00:00Z
Precision design for high-performance TADF emitters with novel interlock D–A frameworks,0.5267,0.0,0.923,0.077,2025-01-31T00:00:00Z
"The Servo Blog: Servo in 2024: stats, features and donations",0.6705,0.025,0.905,0.07,2025-01-31T00:00:00Z
